pass,    time (ms),    total time (ms),    time,     total_time
141,    2084,    306561,    000h 00m 02.084s,    000h 05m 06.561s
142,    2254,    308815,    000h 00m 02.254s,    000h 05m 08.815s
143,    2207,    311022,    000h 00m 02.207s,    000h 05m 11.022s
144,    2158,    313180,    000h 00m 02.158s,    000h 05m 13.180s
145,    2188,    315368,    000h 00m 02.188s,    000h 05m 15.368s
146,    2067,    317435,    000h 00m 02.067s,    000h 05m 17.435s
147,    2099,    319534,    000h 00m 02.099s,    000h 05m 19.534s
148,    2141,    321675,    000h 00m 02.141s,    000h 05m 21.675s
149,    2246,    323921,    000h 00m 02.246s,    000h 05m 23.921s
150,    2176,    326097,    000h 00m 02.176s,    000h 05m 26.097s
151,    2162,    328259,    000h 00m 02.162s,    000h 05m 28.259s
152,    2156,    330415,    000h 00m 02.156s,    000h 05m 30.415s
153,    2170,    332585,    000h 00m 02.170s,    000h 05m 32.585s
154,    2137,    334722,    000h 00m 02.137s,    000h 05m 34.722s
155,    2217,    336939,    000h 00m 02.217s,    000h 05m 36.939s
156,    2097,    339036,    000h 00m 02.097s,    000h 05m 39.036s
157,    2285,    341321,    000h 00m 02.285s,    000h 05m 41.321s
158,    2232,    343553,    000h 00m 02.232s,    000h 05m 43.553s
159,    2226,    345779,    000h 00m 02.226s,    000h 05m 45.779s
160,    2266,    348045,    000h 00m 02.266s,    000h 05m 48.045s
161,    2127,    350172,    000h 00m 02.127s,    000h 05m 50.172s
162,    2229,    352401,    000h 00m 02.229s,    000h 05m 52.401s
163,    2206,    354607,    000h 00m 02.206s,    000h 05m 54.607s
164,    2181,    356788,    000h 00m 02.181s,    000h 05m 56.788s
165,    2137,    358925,    000h 00m 02.137s,    000h 05m 58.925s
166,    2136,    361061,    000h 00m 02.136s,    000h 06m 01.061s
167,    2176,    363237,    000h 00m 02.176s,    000h 06m 03.237s
168,    2135,    365372,    000h 00m 02.135s,    000h 06m 05.372s
169,    2115,    367487,    000h 00m 02.115s,    000h 06m 07.487s
170,    2197,    369684,    000h 00m 02.197s,    000h 06m 09.684s
171,    2219,    371903,    000h 00m 02.219s,    000h 06m 11.903s
172,    2304,    374207,    000h 00m 02.304s,    000h 06m 14.207s
173,    2230,    376437,    000h 00m 02.230s,    000h 06m 16.437s
174,    2157,    378594,    000h 00m 02.157s,    000h 06m 18.594s
175,    2213,    380807,    000h 00m 02.213s,    000h 06m 20.807s
176,    2170,    382977,    000h 00m 02.170s,    000h 06m 22.977s
177,    2231,    385208,    000h 00m 02.231s,    000h 06m 25.208s
178,    2126,    387334,    000h 00m 02.126s,    000h 06m 27.334s
179,    2227,    389561,    000h 00m 02.227s,    000h 06m 29.561s
180,    2170,    391731,    000h 00m 02.170s,    000h 06m 31.731s
181,    2062,    393793,    000h 00m 02.062s,    000h 06m 33.793s
182,    2279,    396072,    000h 00m 02.279s,    000h 06m 36.072s
183,    2151,    398223,    000h 00m 02.151s,    000h 06m 38.223s
184,    2253,    400476,    000h 00m 02.253s,    000h 06m 40.476s
185,    2130,    402606,    000h 00m 02.130s,    000h 06m 42.606s
186,    2213,    404819,    000h 00m 02.213s,    000h 06m 44.819s
187,    2159,    406978,    000h 00m 02.159s,    000h 06m 46.978s
188,    2136,    409114,    000h 00m 02.136s,    000h 06m 49.114s
189,    2170,    411284,    000h 00m 02.170s,    000h 06m 51.284s
190,    2190,    413474,    000h 00m 02.190s,    000h 06m 53.474s
191,    2206,    415680,    000h 00m 02.206s,    000h 06m 55.680s
192,    2185,    417865,    000h 00m 02.185s,    000h 06m 57.865s
193,    2174,    420039,    000h 00m 02.174s,    000h 07m 00.039s
194,    2239,    422278,    000h 00m 02.239s,    000h 07m 02.278s
195,    2159,    424437,    000h 00m 02.159s,    000h 07m 04.437s
196,    2138,    426575,    000h 00m 02.138s,    000h 07m 06.575s
197,    2292,    428867,    000h 00m 02.292s,    000h 07m 08.867s
198,    2272,    431139,    000h 00m 02.272s,    000h 07m 11.139s
199,    2227,    433366,    000h 00m 02.227s,    000h 07m 13.366s
200,    2173,    435539,    000h 00m 02.173s,    000h 07m 15.539s
201,    2184,    437723,    000h 00m 02.184s,    000h 07m 17.723s
202,    2163,    439886,    000h 00m 02.163s,    000h 07m 19.886s
203,    2186,    442072,    000h 00m 02.186s,    000h 07m 22.072s
204,    2136,    444208,    000h 00m 02.136s,    000h 07m 24.208s
205,    2200,    446408,    000h 00m 02.200s,    000h 07m 26.408s
206,    2110,    448518,    000h 00m 02.110s,    000h 07m 28.518s
207,    2210,    450728,    000h 00m 02.210s,    000h 07m 30.728s
208,    2345,    453073,    000h 00m 02.345s,    000h 07m 33.073s
209,    2115,    455188,    000h 00m 02.115s,    000h 07m 35.188s
210,    2176,    457364,    000h 00m 02.176s,    000h 07m 37.364s
211,    2215,    459579,    000h 00m 02.215s,    000h 07m 39.579s
212,    2341,    461920,    000h 00m 02.341s,    000h 07m 41.920s
213,    2191,    464111,    000h 00m 02.191s,    000h 07m 44.111s
214,    2220,    466331,    000h 00m 02.220s,    000h 07m 46.331s
215,    2097,    468428,    000h 00m 02.097s,    000h 07m 48.428s
216,    2180,    470608,    000h 00m 02.180s,    000h 07m 50.608s
217,    2168,    472776,    000h 00m 02.168s,    000h 07m 52.776s
218,    2185,    474961,    000h 00m 02.185s,    000h 07m 54.961s
219,    2088,    477049,    000h 00m 02.088s,    000h 07m 57.049s
220,    2184,    479233,    000h 00m 02.184s,    000h 07m 59.233s
221,    2156,    481389,    000h 00m 02.156s,    000h 08m 01.389s
222,    2164,    483553,    000h 00m 02.164s,    000h 08m 03.553s
223,    2173,    485726,    000h 00m 02.173s,    000h 08m 05.726s
224,    2235,    487961,    000h 00m 02.235s,    000h 08m 07.961s
225,    2200,    490161,    000h 00m 02.200s,    000h 08m 10.161s
226,    2153,    492314,    000h 00m 02.153s,    000h 08m 12.314s
227,    2214,    494528,    000h 00m 02.214s,    000h 08m 14.528s
228,    2167,    496695,    000h 00m 02.167s,    000h 08m 16.695s
229,    2195,    498890,    000h 00m 02.195s,    000h 08m 18.890s
230,    2202,    501092,    000h 00m 02.202s,    000h 08m 21.092s
231,    2222,    503314,    000h 00m 02.222s,    000h 08m 23.314s
232,    2144,    505458,    000h 00m 02.144s,    000h 08m 25.458s
233,    2182,    507640,    000h 00m 02.182s,    000h 08m 27.640s
234,    2191,    509831,    000h 00m 02.191s,    000h 08m 29.831s
235,    2238,    512069,    000h 00m 02.238s,    000h 08m 32.069s
236,    2202,    514271,    000h 00m 02.202s,    000h 08m 34.271s
237,    2252,    516523,    000h 00m 02.252s,    000h 08m 36.523s
238,    2172,    518695,    000h 00m 02.172s,    000h 08m 38.695s
239,    2204,    520899,    000h 00m 02.204s,    000h 08m 40.899s
240,    2114,    523013,    000h 00m 02.114s,    000h 08m 43.013s
241,    2192,    525205,    000h 00m 02.192s,    000h 08m 45.205s
242,    2299,    527504,    000h 00m 02.299s,    000h 08m 47.504s
243,    2148,    529652,    000h 00m 02.148s,    000h 08m 49.652s
244,    2183,    531835,    000h 00m 02.183s,    000h 08m 51.835s
245,    2129,    533964,    000h 00m 02.129s,    000h 08m 53.964s
246,    2226,    536190,    000h 00m 02.226s,    000h 08m 56.190s
247,    2083,    538273,    000h 00m 02.083s,    000h 08m 58.273s
248,    2150,    540423,    000h 00m 02.150s,    000h 09m 00.423s
249,    2120,    542543,    000h 00m 02.120s,    000h 09m 02.543s
250,    2186,    544729,    000h 00m 02.186s,    000h 09m 04.729s
251,    2230,    546959,    000h 00m 02.230s,    000h 09m 06.959s
252,    2223,    549182,    000h 00m 02.223s,    000h 09m 09.182s
253,    2163,    551345,    000h 00m 02.163s,    000h 09m 11.345s
254,    2222,    553567,    000h 00m 02.222s,    000h 09m 13.567s
255,    2223,    555790,    000h 00m 02.223s,    000h 09m 15.790s
256,    2121,    557911,    000h 00m 02.121s,    000h 09m 17.911s
257,    2297,    560208,    000h 00m 02.297s,    000h 09m 20.208s
258,    2211,    562419,    000h 00m 02.211s,    000h 09m 22.419s
259,    2163,    564582,    000h 00m 02.163s,    000h 09m 24.582s
260,    2114,    566696,    000h 00m 02.114s,    000h 09m 26.696s
261,    2155,    568851,    000h 00m 02.155s,    000h 09m 28.851s
262,    2170,    571021,    000h 00m 02.170s,    000h 09m 31.021s
263,    2126,    573147,    000h 00m 02.126s,    000h 09m 33.147s
264,    2213,    575360,    000h 00m 02.213s,    000h 09m 35.360s
265,    2179,    577539,    000h 00m 02.179s,    000h 09m 37.539s
266,    2197,    579736,    000h 00m 02.197s,    000h 09m 39.736s
267,    2175,    581911,    000h 00m 02.175s,    000h 09m 41.911s
268,    2183,    584094,    000h 00m 02.183s,    000h 09m 44.094s
269,    2098,    586192,    000h 00m 02.098s,    000h 09m 46.192s
270,    2131,    588323,    000h 00m 02.131s,    000h 09m 48.323s
271,    2111,    590434,    000h 00m 02.111s,    000h 09m 50.434s
272,    2216,    592650,    000h 00m 02.216s,    000h 09m 52.650s
273,    2140,    594790,    000h 00m 02.140s,    000h 09m 54.790s
274,    2145,    596935,    000h 00m 02.145s,    000h 09m 56.935s
275,    2147,    599082,    000h 00m 02.147s,    000h 09m 59.082s
276,    2229,    601311,    000h 00m 02.229s,    000h 10m 01.311s
277,    2211,    603522,    000h 00m 02.211s,    000h 10m 03.522s
278,    2201,    605723,    000h 00m 02.201s,    000h 10m 05.723s
279,    2122,    607845,    000h 00m 02.122s,    000h 10m 07.845s
280,    2088,    609933,    000h 00m 02.088s,    000h 10m 09.933s
281,    2086,    612019,    000h 00m 02.086s,    000h 10m 12.019s
282,    2205,    614224,    000h 00m 02.205s,    000h 10m 14.224s
283,    2265,    616489,    000h 00m 02.265s,    000h 10m 16.489s
284,    2276,    618765,    000h 00m 02.276s,    000h 10m 18.765s
285,    2217,    620982,    000h 00m 02.217s,    000h 10m 20.982s
286,    2239,    623221,    000h 00m 02.239s,    000h 10m 23.221s
