pass,    time (ms),    total time (ms),    time,     total_time
136,    1485,    302767,    000h 00m 01.485s,    000h 05m 02.767s
137,    1620,    304387,    000h 00m 01.620s,    000h 05m 04.387s
138,    1674,    306061,    000h 00m 01.674s,    000h 05m 06.061s
139,    1611,    307672,    000h 00m 01.611s,    000h 05m 07.672s
140,    1680,    309352,    000h 00m 01.680s,    000h 05m 09.352s
141,    1575,    310927,    000h 00m 01.575s,    000h 05m 10.927s
142,    1545,    312472,    000h 00m 01.545s,    000h 05m 12.472s
143,    1625,    314097,    000h 00m 01.625s,    000h 05m 14.097s
144,    1656,    315753,    000h 00m 01.656s,    000h 05m 15.753s
145,    1715,    317468,    000h 00m 01.715s,    000h 05m 17.468s
146,    1609,    319077,    000h 00m 01.609s,    000h 05m 19.077s
147,    1643,    320720,    000h 00m 01.643s,    000h 05m 20.720s
148,    1598,    322318,    000h 00m 01.598s,    000h 05m 22.318s
149,    1586,    323904,    000h 00m 01.586s,    000h 05m 23.904s
150,    1437,    325341,    000h 00m 01.437s,    000h 05m 25.341s
151,    1554,    326895,    000h 00m 01.554s,    000h 05m 26.895s
152,    1933,    328828,    000h 00m 01.933s,    000h 05m 28.828s
153,    1668,    330496,    000h 00m 01.668s,    000h 05m 30.496s
154,    1460,    331956,    000h 00m 01.460s,    000h 05m 31.956s
155,    1677,    333633,    000h 00m 01.677s,    000h 05m 33.633s
156,    1674,    335307,    000h 00m 01.674s,    000h 05m 35.307s
157,    1455,    336762,    000h 00m 01.455s,    000h 05m 36.762s
158,    1477,    338239,    000h 00m 01.477s,    000h 05m 38.239s
159,    1559,    339798,    000h 00m 01.559s,    000h 05m 39.798s
160,    1548,    341346,    000h 00m 01.548s,    000h 05m 41.346s
161,    1581,    342927,    000h 00m 01.581s,    000h 05m 42.927s
162,    1525,    344452,    000h 00m 01.525s,    000h 05m 44.452s
163,    1723,    346175,    000h 00m 01.723s,    000h 05m 46.175s
164,    1673,    347848,    000h 00m 01.673s,    000h 05m 47.848s
165,    1500,    349348,    000h 00m 01.500s,    000h 05m 49.348s
